"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Romanian Deadlift (Dumbbell)",,"",0,"normal",30,10,,,7
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Romanian Deadlift (Dumbbell)",,"",1,"normal",30,10,,,7.5
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Romanian Deadlift (Dumbbell)",,"",2,"normal",30,10,,,7.5
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Romanian Deadlift (Dumbbell)",,"",3,"normal",30,10,,,8
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Leg Press (Machine)",,"",0,"normal",165,12,,,7.5
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Leg Press (Machine)",,"",1,"normal",165,12,,,7.5
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Leg Press (Machine)",,"",2,"normal",165,12,,,8
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Leg Press (Machine)",,"",3,"normal",165,12,,,8
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Leg Extension (Machine)",,"",0,"normal",71.5,15,,,7
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Leg Extension (Machine)",,"",1,"normal",71.5,15,,,7.5
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Leg Extension (Machine)",,"",2,"normal",71.5,15,,,8
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Squat (Machine)",,"",0,"normal",240,12,,,7.5
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Squat (Machine)",,"",1,"normal",240,12,,,7.5
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Squat (Machine)",,"",2,"normal",240,12,,,8
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Standing Calf Raise (Smith)",,"",0,"normal",30,15,,,7
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Standing Calf Raise (Smith)",,"",1,"normal",30,15,,,7
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Standing Calf Raise (Smith)",,"",2,"normal",30,15,,,7.5
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Standing Calf Raise (Smith)",,"",3,"normal",30,15,,,7.5
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Cable Crunch",,"",0,"normal",70,12,,,7
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Cable Crunch",,"",1,"normal",70,12,,,7
"LOWER","Jun 11, 2026, 1:01 PM","Jun 11, 2026, 2:04 PM","","Cable Crunch",,"",2,"normal",70,12,,,7.5
"UPPER","Jun 10, 2026, 5:41 PM","Jun 10, 2026, 6:58 PM","","Bench Press (Barbell)",,"",0,"normal",50,8,,,7.5
"UPPER","Jun 10, 2026, 5:41 PM","Jun 10, 2026, 6:58 PM","","Bench Press (Barbell)",,"",1,"normal",50,8,,,7.5
"UPPER","Jun 10, 2026, 5:41 PM","Jun 10, 2026, 6:58 PM","","Bench Press (Barbell)",,"",2,"normal",50,8,,,7.5
"UPPER","Jun 10, 2026, 5:41 PM","Jun 10, 2026, 6:58 PM","","Bench Press (Barbell)",,"",3,"normal",50,8,,,8
"UPPER","Jun 10, 2026, 5:41 PM","Jun 10, 2026, 6:58 PM","","Lat Pulldown (Cable)",,"",0,"normal",60,10,,,7
"UPPER","Jun 10, 2026, 5:41 PM","Jun 10, 2026, 6:58 PM","","Lat Pulldown (Cable)",,"",1,"normal",60,10,,,7.5
"UPPER","Jun 10, 2026, 5:41 PM","Jun 10, 2026, 6:58 PM","","Lat Pulldown (Cable)",,"",2,"normal",60,10,,,7.5
"UPPER","Jun 10, 2026, 5:41 PM","Jun 10, 2026, 6:58 PM","","Lat Pulldown (Cable)",,"",3,"normal",60,10,,,7.5
"UPPER","Jun 10, 2026, 5:41 PM","Jun 10, 2026, 6:58 PM","","Incline Bench Press (Dumbbell)",,"",0,"normal",25,10,,,7
"UPPER","Jun 10, 2026, 5:41 PM","Jun 10, 2026, 6:58 PM","","Incline Bench Press (Dumbbell)",,"",1,"normal",25,10,,,7.5
